Com,X,Y,Lon,Lat
1000 Brussel,149217,170388,4°21'27.4'',50°50'38''
1000 Brussel,149035,169484,4°21'18.1'',50°50'8.8''
1000 Brussel,151252,170156,4°23'11.4'',50°50'30.5''
1000 Brussel,147991,169905,4°20'24.7'',50°50'22.4''
1000 Bruxelles,151446,165849,4°23'21.2'',50°48'11.1''
1000 Bruxelles,148851,171795,4°21'8.7'',50°51'23.6''
1000 Bruxelles,148818,170048,4°21'7'',50°50'27''
1000 Bruxelles,149212,170715,4°21'27.1'',50°50'48.6''
1000 Bruxelles,149355,169742,4°21'34.4'',50°50'17.1''
1000 Bruxelles,149408,170006,4°21'37.1'',50°50'25.7''
1000 Bruxelles,148523,171402,4°20'51.9'',50°51'10.8''
1000 Bruxelles,149503,169862,4°21'42'',50°50'21''
1000 Bruxelles,150557,169921,4°22'35.9'',50°50'22.9''
1000 Bruxelles,148630,170409,4°20'57.4'',50°50'38.7''
1000 Bruxelles,149894,170171,4°22'2'',50°50'31''
1000 Bruxelles,148799,172798,4°21'6'',50°51'56''
1000 Bruxelles,149317,170149,4°21'32.5'',50°50'30.3''
1000 Bruxelles,148960,169745,4°21'14.2'',50°50'17.2''
1000 Bruxelles,149605,170735,4°21'47.2'',50°50'49.3''
1000 Bruxelles,150271,166207,4°22'21.2'',50°48'22.7''
1000 Bruxelles,148943,169773,4°21'13.4'',50°50'18.1''
1000 Bruxelles,149006,170353,4°21'16.6'',50°50'36.9''
1000 Bruxelles,149964,171149,4°22'5.6'',50°51'2.6''
1000 Bruxelles,148391,169169,4°20'45.2'',50°49'58.6''
1000 Bruxelles,149794,170016,4°21'56.9'',50°50'26''
1000 Bruxelles,149625,170985,4°21'48.2'',50°50'57.3''
1000 Bruxelles,149826,169873,4°21'58.5'',50°50'21.4''
1000 Bruxelles,148575,172652,4°20'54.5'',50°51'51.3''
1000 Bruxelles,149174,172244,4°21'25.2'',50°51'38.1''
1000 Bruxelles,148752,170717,4°21'3.6'',50°50'48.7''
1000 Bruxelles,150388,167350,4°22'27.2'',50°48'59.7''
1000 Bruxelles,150132,169890,4°22'14.1'',50°50'21.9''
1000 Bruxelles,149006,171417,4°21'16.6'',50°51'11.3''
1000 Bruxelles,148874,170619,4°21'9.8'',50°50'45.5''
1000 Bruxelles,151303,169849,4°23'14'',50°50'20.6''
1000 Bruxelles,149115,170938,4°21'22.2'',50°50'55.8''
1000 Bruxelles,150399,174307,4°22'27.8'',50°52'44.8''
1000 Bruxelles,149906,169914,4°22'2.6'',50°50'22.7''
1000 Bruxelles,148603,170851,4°20'56'',50°50'53''
1000 Bruxelles,150649,170921,4°22'40.6'',50°50'55.3''
1000 Bruxelles,148505,169461,4°20'51'',50°50'8''
1000 Bruxelles,149855,170202,4°21'60'',50°50'32''
1000 Bruxelles,148861,170490,4°21'9.2'',50°50'41.3''
1000 Bruxelles,148567,169201,4°20'54.2'',50°49'59.6''
1000 Bruxelles,150317,173548,4°22'23.6'',50°52'20.3''
1000 Bruxelles,149563,170694,4°21'45.1'',50°50'47.9''
1000 Bruxelles,150002,170581,4°22'7.5'',50°50'44.3''
1000 Bruxelles,148041,170010,4°20'27.3'',50°50'25.8''
1000 Bruxelles,149093,170681,4°21'21'',50°50'47.5''
1000 Bruxelles,148651,170877,4°20'58.4'',50°50'53.8''
1000 Bruxelles,149107,170620,4°21'21.8'',50°50'45.5''
1000 Bruxelles,149346,169683,4°21'34'',50°50'15.2''
1000 Bruxelles,150168,170140,4°22'16'',50°50'30''
1000 Bruxelles,149740,173809,4°21'54.1'',50°52'28.7''
1000 Bruxelles,149284,170591,4°21'30.8'',50°50'44.6''
1000 Bruxelles,149800,168496,4°21'57.2'',50°49'36.8''
1000 Bruxelles,148919,171108,4°21'12.1'',50°51'1.3''
1000 Bruxelles,149214,170540,4°21'27.2'',50°50'42.9''
1000 Bruxelles,149151,171314,4°21'24'',50°51'8''
1000 Bruxelles,149170,170554,4°21'25'',50°50'43.4''
1000 Bruxelles,149272,171557,4°21'30.2'',50°51'15.9''
1000 Bruxelles,148354,171276,4°20'43.3'',50°51'6.8''
1000 Bruxelles,151804,169930,4°23'39.6'',50°50'23.2''
1000 Bruxelles,148135,170478,4°20'32.1'',50°50'40.9''
1000 Bruxelles,149217,173034,4°21'27.4'',50°52'3.6''
